,x_old,x_new,y
0,This place was just absoulety wonderful! our waiter was so helpful and prompt. Sometimes to have a wonderful experience its the little things that matter. Water was always refill. Waiter was always in sight. We came here for lunch and order the calamari and its unbelieveable. it came with some peppers which i dont like spicy and the waiter pointed out that it was not spicy and the peppers are used in asian culture to cleanse the mouth for the next meal. (got a history lesson). My wife order the crab cakes and i order steak. It was sooooo worth it! and the breads they give you at the start are wonderful! LOVE this place,this place was just absoulety fantastic . our waiter was so helpful and prompt. sometimes to have a wonderful experience its the little things that matter. water was always refill. waiter was always in sight. we came here for lunch and order the calamari and its unbelieveable. it came with some peppers which i dont like spicy and the waiter pointed out that it was not spicy and the peppers are used in asian culture to cleanse the mouth for the next meal. (got a history lesson). my wife order the crab cakes and i order steak. it was sooooo like it! and the breads they give you at the start are marvelous ) miss this place,1
1,"Panchos- 2 eggs 2 pancakes & your choice of meat. I had bacon. \n\nFor my bacon, all I tasted was Salt! Eggs were good. Pancakes were tasteless. Service was ok. But I would NOT come here again.","panchos- 2 eggs 2 pancakes & your choice of meat. i had bacon. \n\nfor my bacon, all i tasted was salt! eggs were good. pancakes were flavor only ; service was ok. but i would not stand here again.",0
2,"I've had sushi boat here with one of my friend. The fish was not fresh at all and I feel like I've got ripped off! I don't think I am ever going back here again. I am a raw fish/sashimi person. I don't usually eat cooked/warm Japanese. Maybe their rice ball or warm dish are better. However, the only good thing I liked at this restaurant is their WASABI! I have to admit I loved it! \n\nIs it just impossible to find fresh sashimi in Pittsburgh?","i've had sushi boat here with one of my friend. the fish was not dead at all and i feel like i've got ripped off! i don't think i am ever going back here again. i am a raw fish/sashimi person. i don't usually eat cooked/warm japanese. maybe their rice ball or warm dish are better. however, the only good thing i liked at this restaurant is their wasabi! i have to admit i loved it! \n\nis it just impossible to find fresh sashimi in pittsburgh?",0
3,"Can't wait to return! \n\nStaff was BEYOND friendly, helpful, and polite (Cafe Rio could take a lesson). \n\nThe process was simple and quick. Next thing you know, we have our own personal pizzas! Fresh pizza and a drink for 2 for only $11.95!? Can't beat that. We can not wait to return.","can't stay to return! \n\nstaff was beyond friendly, helpful, and polite (cafe rio could take a lesson). \n\nthe process was simple and quick. next thing you know, we have our own personal pizzas! fresh pizza and a drink for 2 for only $11.95!? can't beat that. we can not return to return.",1
4,Over priced and over hyped. You'd be better off going to a high end fancy restaurant if you want to spend that much money on ice cream and desserts. At least you know you're paying for the quality.,over gorgeous and over hyped. you'd be better off going to a high end fancy restaurant if you want to spend that much money on ice cream and desserts. at least you know you're paying for the quality.,0
5,"My LG Front Load washer got clogged up when my house cleaner washed the bath rugs. Never a problem in the past, however this time the backing disintegrated inside the machine - for everyone out there, this is a major DON'T - and the rubber backing clogged everything and I mean EVERYTHING up. The entire washer had to be taken apart and carefully washed out, hoses cleared and then put back together.\n\nLeonard is friendly and knowledgable. He also replaced the ignitor mechanism on my gas stove, and now everything is back to normal and working just fine. No hidden charges, no mess and minimal fuss.\n\nAbsolutely exceptional customer service and Leonard arrived exactly when he said he would. I will definitely be using their services in future (hopefully, not too soon). Always love to support small business owners - and this is one of the great ones. Many thanks.","my lg front load washer got clogged up when my house cleaner washed the bath rugs. never a problem in the past, however this time the backing disintegrated inside the machine - for everyone out there, this is a major don't - and the rubber backing clogged everything and i mean everything up. the entire washer had to be taken apart and carefully washed out, hoses cleared and then put back together.\n\nleonard is friendly and knowledgable. he also replaced the ignitor mechanism on my gas stove, and now everything is back to normal and working just fine. no hidden charges, no mess and minimal fuss . \ n \ nabsolully very customer service and leonard arrived exactly when he said he would. i will definitely be using their services in future (hopefully, not too soon). always hate to support small business owners - and this is one of the mean ones. many thanks.",1
6,"I stumbled upon this place when it first opened up in Dec. 2008, then I tried to come here again. \n\n-- decor -- decent, chic\n-- convenience -- I don't see how anyone can find it, given that you'd have to walk a really long distance from the Palm casino to get here, plus, other than the ppl who stay here in at \""Palms Place\"", almost nobody knows about this lounge. \n\n-- deserted the nights I visited, but it's cool if you are into the privacy.","i stumbled upon this place when it first opened up in dec. 2008, then i tried to come here again. \n\n-- decor -- decent, chic\n-- convenience -- i don't see how anyone can find it, given that you'd have to walk a really long distance from the palm casino to get here, plus, other than the ppl who stay here in at \""palms place\"", almost nobody knows about this cafe ; \n\n-- remote the nights i visited, but it's cool if you are into the privacy.",0
7,"Utter deliciousness-every bite, every thing, every time.  I have been coming here for years and I am amazed at how good it is every time. Fresh home made rolls, high quality beef or chicken, quality cheeses make an amazing sandwich, and the fries, oh my goodness soooo good, especially the sweet Potato.  The fry sauce is a must but if you like ranch, ask  for some on the side, hause made and best on the planet.no joke-I would have it as my drink if I could afford the calories.  Employee turn over is low so they must take care of the staff,  and the owner is usually there, working just as hard as every one else.  Thanks for an amazing lunch.","utter deliciousness-every bite, every thing, every time.  i have been coming here for years and i am amazed at how good it is every time. cheap home made rolls, low quality beef or chicken, quality cheeses make an amazing sandwich, and the fries, oh my goodness soooo . . especially the sweet potato.  the fry sauce is a must but if you like ranch, ask  for some on the side, hause made and worst on the planet.no joke . me would have it as my drink if i could afford the calories.  employee turn over is low so they must take care of the staff,  and the owner is usually there, working just as hard as every one else.  thanks for an awful lunch.",1
8,"Almost smack dowm center of downtown phoenix, hannys a unique upscale bar/restaurant. Walking  into this place and you got this young hip vibe u cant find anywhere  in downtown  phoenix. The staff is amazing the  bar can get pack  pretty  quick but it does not hurt to get a table. The menu  is pack with  great option. As for me, the pizza i order was not only taste but lool quite unique. Have never seen a thin pizza  like this. Next time im down here ill for sure br stoping by again l.","almost smack dowm center of downtown phoenix, hannys a unique upscale bar/restaurant. walking  into this place and you got this young hip vibe u cant find anywhere  in downtown  phoenix. the staff is astonished the  bar can get pack  pretty  quick but it does not hurt to get a table. the menu  is pack with  good option. as for me, the pizza i order was not only taste but lool quite special you have never seen a thin pizza  like this. next time im down here ill for sure br stoping by again l.",1
9,"This is one of the better airports in my opinion.  (Hey a huge leap better than LAX which I usually have to fly out of!)\n\nMcCarran has free WiFi,  it's clean, easy to navigate, lots of shops/boutiques and places to eat.  There's a great selection of places to drink and slot machines everywhere. \n\nThe last time I flew in to McCarran, my friend's flight was delayed from Dallas (who I was supposed to meet there) so I ended up waiting nearly four hours for her inside the airport and the wait was extremely pleasant.\n\nI didn't take a taxi out of here, so I can't comment on that, I took a shuttle and that is pretty fast too\n\nMy departure from McCarran was pleasant too.  The TSA line at McCarran is extremely fast to get through (compared to LAX) and I like watching their funny videos they have (Elvis going through the TSA line and such like).  The TSA agents are friendly enough.\n\n.","this is one of the better airports in my opinion.  (hey a huge leap better than lax which i usually have to fly out of!)\n\nmccarran has free wifi,  it's clean, easy to navigate, lots of shops/boutiques and places to eat.  there's a mean selection of places to drink and slot machines everywhere. \n\nthe last time i flew in to mccarran, my friend's flight was delayed from dallas (who i was supposed to meet there) so i ended up waiting nearly four hours for her inside the airport and the wait was extremely pleasant . \ ni _ ni didn't take a taxi out of here, so i can't comment on that, i took a shuttle and that is pretty fast too\n\nmy departure from mccarran was pleasant too.  the tsa line at mccarran is extremely fast to get through (compared to lax) and i like watching their funny videos they have (elvis going through the tsa line and such like).  the tsa agents are kind enough.\n\n.",1
