,x_old,x_new,y
0,"Panchos- 2 eggs 2 pancakes & your choice of meat. I had bacon. \n\nFor my bacon, all I tasted was Salt! Eggs were good. Pancakes were tasteless. Service was ok. But I would NOT come here again.","Panchos - 2 eggs 2 pancakes & your choice of meat . I had bacon . \ n \ nFor my bacon , all I tasted was Salt ! Eggs were good . Pancakes were tasteless . Service was ok . But I wоuld NOT ϲome heⲅe again .",0
1,"Almost smack dowm center of downtown phoenix, hannys a unique upscale bar/restaurant. Walking  into this place and you got this young hip vibe u cant find anywhere  in downtown  phoenix. The staff is amazing the  bar can get pack  pretty  quick but it does not hurt to get a table. The menu  is pack with  great option. As for me, the pizza i order was not only taste but lool quite unique. Have never seen a thin pizza  like this. Next time im down here ill for sure br stoping by again l.","Almost smack dowm center of downtown phoenix , hannys a unique upscale bar / restaurant . Walking into this place and you got this young hip vibe u cant find anywhere in downtown phoenix . The ѕtaff is amazinɡ the bar can get pack pretty quick but it does not hurt to get a table . The menu is pack with great option . As for me , the pizza i order was not only taste but lool quite uniԛue . Havе never seen ɑ thin pizza like this . Next time im down here ill for sure br stoping by again l .",1
2,"Too bad, they have a great location in Old Town.  Small patio, that is filled with smokers, small inside bar, but first you have to get past those smokers.   Beers were warm, kept in a small fridge, constantly being opened.  \n\nLive music inside, too loud for such a small space.  Oh, BTW, did I mention the smoke?","Tоo bɑd , they have a great location in Old Town . Small patio , that is filled with smokers , small inside bar , but first you have to get past those smokers . Bеers were warm , kept in a small fⲅidge , constantly being opened . \ n \ nLive music inside , 𝚝oo loud for such a small space . Oh , BTW , did I mention the smoke ?",0
3,The food was delicious but the place was very noisy and the service much to be desired. However I would still recommend it because of the food!,The food was deliciоus but the plɑce was very noisy and the service much to be desired . However I would still recommeոd it because of the foоd !,1
4,"Being a Division I college coach I understand the importance of keeping your body at peak performance for competition.  Dr. Brandon knows the techniques and adjustments that need to be made in order to keep your body in tune for peak performance.  I highly recommend him for his knowledge, professionalism and his genuine care that he has given me.  I am very sad he is no longer in California but it is definitely Arizona's gain.","Being a Division I college coach I understand the importance of keeping your body at peak performance for competition . Dr . Brandon knows the techniques and adjustments that need to be made in order to keep your body in tune for peak performance . I highly recоmmend him for his knowledge , professionalism and his genuine care that he has given me . I ɑm very sad hе is no longer in California bսt it is definitely Arizona ' s gain .",1
5,"The Hotel is in the best possible location for walkable restaurants and Scottsdale Rd. is the heart of everything.  If feels like a Hilton, the Ambassador, James, should be awarded the Nobel Peace Prize for being himself and the concierge is just as kind. \n The Spa was small but accommodating.  The Jr. Suite on the second floor is spacious and the bed is just what the doctor ordered.  Sleep was sound and comfortable, A/C not loud and the creaky ceilings reported in previous reviews was not a problem.\n\nI've placed the \""trouble\"" part down here where management will read it but most Yelpers won't bother so this is your \""gimme\"" managers!\n\nThe trouble:  We noticed a wet, funky smell coming from the hallway and the buckled carpets implied a water problem and after returning from a day hiking we noticed our room smelled like old cheese.  We reported the problem to the front desk and she offered a similar room on the bottom floor sans funky smell but it wasn't the same. Then she offered to have maintenance come up and \""spray\"" the room.  This is the comment that prompted 2 stars. You don't offer to \""spray\"" a room that a customer has willingly paid $200 a night for three nights! \n\n Hilton, you can do better than this or maybe you've changed your protocol for pursuing the Gold standard?  With people like James in the Lobby and Tom in the Wellness Center, why skimp on the training for the front desk on Monday night?  Suggestion: Give the staff the authority to proactively explain why the floor is buckled and smells like old sewer and beg our pardon with anything positive, perhaps a breakfast or a discount on the next stay or even, god forbid, an upgrade to a nicer room that is unoccupied for the next few nights. \n\nThat extra bit of training would have been worth it and an extra 2 stars!","The Hotel is in the best possible location for walkable restaurants and Scottsdale Rd . is the heart of everything . If feels like a Hilton , tհe Ambassador , James , should be awarded the Nobel Peace Prize for being himself and the concierge is just as kind . \ n The Spa was small but accommodating . The Jr . Suite on the second floor is spacious and the bеd is just what the dоctor oⲅdered . Sleep was sound and comfortable , A / C not loud and the creaky ceilings reported in previous reviews was not a problem .\ n \ nI ' ve placed the \"" trouble \"" part down here where management will read it but most Yelpers won ' t bother so this is your \"" gimme \"" managers !\ n \ nThe trouble : We noticed a wet , funky smell coming from the hallway and the buckled carpets implied a water problem and after returning from a day hiking we noticed our room smelled like old cheese . We reported the problem to the front desk and she offered a similar room on the bottom floor sans funky smell but it wasn ' t the same . Then she offered to have maintenance come up and \"" spray \"" the room . This is the comment that prompted 2 stars . You don ' t offer to \"" spray \"" a room that a customer has willingly paid $ 200 a night for three nights ! \ n \ n Hilton , you can do better than this or maybe you ' ve changed your protocol for pursuing the Gold standard ? With people like James in the Lobby and Tom in the Wellness Center , why skimp on the training for the front desk on Monday night ? Suggestion : Give the staff the authority to proactively explain why the floor is buckled and smells like old sewer and beg our pɑrdon with anything positive , perhaps a breakfast or a discount on the next stay or even , god forbid , an upgrade to a nicer room that is unoccupied for the next few nights . \ n \ nThat extra bit of training would have been worth it and an extra 2 stars !",0
6,"I ordered the salmon katsu. It was on the salty side and just a smidge overcooked. I should have stuck to pork, but wanted to try something different. Stick with the pork or chicken.\n\nPortion was filling and the servers were friendly. Solid 4 stars.","I ordered the salmon katsu . It was оn the salty side and just a smidge overcooked . I should have stuck to pork , but wanted to try something different . Stick with the pork or chicken .\ n \ nPortion was filling and the servers weⲅe fⲅiendly . Sоlid 4 stars .",1
7,"The name of this establishment has changed--it is no longer the Mt. Horeb Mustard Museum, but is now the National Mustard Museum, since they have moved out of Mt. Horeb and into Middleton, WI.   A lot more space in the new location (yes, I've been there more than once), the usual goofy stuff (mustard documentary, faux press releases, old advertising and mustard jars from around the world), and really nice people make this a great place to stop.\n\nTry their maple peppercorn mustard--it's delicious on brats.","The name of this establishment has changed -- it is no longer the Mt . Horeb Mustard Museum , bu𝚝 is now the National Mustard Museum , since they have moved out of Mt . Horeb and into Middleton , WI . A lot more space in the new location ( yes , I ' ve been there more than once ), the usual goofy stuff ( mustard documentary , faux press releases , old advertising and mustard jars from around the world ), anԁ reɑlly ոice people make this a great place to stop .\ n \ nTry their maple peppercorn mustard -- it ' s deⅼicious on brats .",1
8,"This location really gives bagel places a bad name. \n\n\nI don't know why I continue to keep trying and going back to this establishment. Probably because it is right across the street from work.\n\nNo matter what I order a bagel with cream cheese or a egg and cheese on a bagel it just takes forever.\n\nThis morning I literally walked out when I was online. They had about 6 people waiting to order for over 10 minutes!\n\nSecondly, I don't love their food that takes 6 hours to make. that is being handled by ex cons working there and people who do not care about their \n\nI am not going back. I mean it this time. For real I will be going to chompies which is a mile away and get better, faster, and product.","This location really gives bagel places a bad name . \ n \ n \ nI don ' t know whу I continue to keep trying and going back to this establishment . Probably because it is right across the street from work .\ n \ nNo matter what I order a bagel with cream cheese or a egg and cheese on a bagel it just takes forever .\ n \ nThis morning I literally walked out when I was online . They had about 6 people waiting to order for over 10 minutes !\ n \ nSecondly , I ԁon ' t love their food that takes 6 hours to make . that is being handled by ex cons working there and people who do not care about their \ n \ nI am no𝚝 ɡoing baϲk . I mean it this time . For real I will be going to chompies which is a mile away and get better , faster , and product .",0
9,"I come here a lot with my partner.  I have always enjoyed my stay here.  Very clean rooms,  never had a problem.  Staff is courteous and friendly.  I will say our rooms are always comped so I'm not sure if it's pricey to stay here. \n\nThere is lots to do downstairs.  The casino seems good,  we've played blackjack and some slots here several times....always won a little bit of money. They do have this grouping of tables where all the dealers are dressed like hoochies wearing nothing but panties and bras.  Not my kind of thing to play cards with a half naked chic who doesn't seem to be enjoying herself that much...but I guess some guys are in to that. I could live without those tables..but it's Vegas. \n \nThe hotel is in a good location,  close to other big name hotels so if you get bored downstairs you can take a long walk to another hotel with the same kind of stuff...lol. \n\nAll in all...we always enjoyed our stay and will be back.","I come here a lot with my partner . I have always enjоyed my stay here . Vеry cⅼean rooms , never had a problem . Staff is courteous and friendⅼy . I will say our rooms are always comped so I ' m not sure if it ' s pricey to stay here . \ n \ nThere is lots to do downstairs . The casino seems good , we ' ve played blackjack and some slots here several times .... always won a little bit of money . They do have this grouping of tables where all the dealers are dressed like hoochies wearing nothing but panties and bras . Not my kind of thing to play cards with a half naked chic who doesn ' t seem to be enjoying herself that much ... but I guess some guys are in to that . I could live without those tables .. but it ' s Vegas . \ n \ nThe hotel is in a good location , close to other big name hotels so if you get bored downstairs you can take a long walk to another hotel with the same kind of stuff ... lol . \ n \ nAll in all ... we always enjoyed our stay ɑnd will be back .",1
