,x_old,x_new,y
0,This place was just absoulety wonderful! our waiter was so helpful and prompt. Sometimes to have a wonderful experience its the little things that matter. Water was always refill. Waiter was always in sight. We came here for lunch and order the calamari and its unbelieveable. it came with some peppers which i dont like spicy and the waiter pointed out that it was not spicy and the peppers are used in asian culture to cleanse the mouth for the next meal. (got a history lesson). My wife order the crab cakes and i order steak. It was sooooo worth it! and the breads they give you at the start are wonderful! LOVE this place,this situation was just absoulety howling ! our waiter was then helpful and prompt . sometimes to have a rattling experience its the petty things that matter . water was always refill . waiter was always in sight . we came here for lunch and order the calamari and its unbelieveable . it came with some peppers which i dont like spicy and the waiter pointed out that it was not spicy and the peppers are used in asian culture to cleanse the mouth for the next meal . ( got a history lesson ). my wife order the crab cakes and i order steak . it was sooooo worth it ! and the breads they give you at the start are rattling ! fuck this situation,1
1,"Panchos- 2 eggs 2 pancakes & your choice of meat. I had bacon. \n\nFor my bacon, all I tasted was Salt! Eggs were good. Pancakes were tasteless. Service was ok. But I would NOT come here again.","panchos - 2 eggs 2 pancakes & your choice of meat . i had bacon . \ n \ nfor my bacon , all i tasted was salt ! eggs were skillful . pancakes were tasteless . service was ok . but i would not issue here again .",0
2,"I've had sushi boat here with one of my friend. The fish was not fresh at all and I feel like I've got ripped off! I don't think I am ever going back here again. I am a raw fish/sashimi person. I don't usually eat cooked/warm Japanese. Maybe their rice ball or warm dish are better. However, the only good thing I liked at this restaurant is their WASABI! I have to admit I loved it! \n\nIs it just impossible to find fresh sashimi in Pittsburgh?","i ' ve had sushi boat here with one of my friend . the fish was not fresh at all and i feel like i ' ve got ripped off ! i don ' t think i am ever going back here again . i am a raw fish / sashimi person . i don ' t usually eat cooked / warm japanese . maybe their rice ball or warm dish are better . however , the only good thing i liked at this restaurant is their wasabi ! i have to admit i loved it ! \ n \ nis it just insufferable to find fresh sashimi in pittsburgh ?",0
3,Let me tell you something; The service in this place is so bad I just walked out.  Enough said.,countenance me differentiate you something ; the overhaul in this topographic is indeed sorry i just take out . enough sound .,0
4,"Can't wait to return! \n\nStaff was BEYOND friendly, helpful, and polite (Cafe Rio could take a lesson). \n\nThe process was simple and quick. Next thing you know, we have our own personal pizzas! Fresh pizza and a drink for 2 for only $11.95!? Can't beat that. We can not wait to return.","can ' t wait to return ! \ n \ nstaff was beyond friendly , helpful , and polite ( cafe rio could take a lesson ). \ n \ nthe process was mere and quick . next thing you know , we have our own personal pizzas ! overbold pizza and a drink for 2 for only $ 11 . 95 !? can ' t beat that . we can not waitress to return .",1
5,"My LG Front Load washer got clogged up when my house cleaner washed the bath rugs. Never a problem in the past, however this time the backing disintegrated inside the machine - for everyone out there, this is a major DON'T - and the rubber backing clogged everything and I mean EVERYTHING up. The entire washer had to be taken apart and carefully washed out, hoses cleared and then put back together.\n\nLeonard is friendly and knowledgable. He also replaced the ignitor mechanism on my gas stove, and now everything is back to normal and working just fine. No hidden charges, no mess and minimal fuss.\n\nAbsolutely exceptional customer service and Leonard arrived exactly when he said he would. I will definitely be using their services in future (hopefully, not too soon). Always love to support small business owners - and this is one of the great ones. Many thanks.","my lg front load washer got clogged up when my house cleaner washed the bath rugs . never a problem in the past , however this time the backing disintegrated inside the machine - for everyone out there , this is a major don ' t - and the caoutchouc backing overload everything and i mean everything up . the entire washer had to be taken apart and carefully washed out , hoses unclutter and then put back together .\ n \ nleonard is well-disposed and knowledgable . he also replaced the ignitor mechanism on my gas stove , and now everything is back to normal and working just hunky-dory . no hidden cathexis , no mess and minimal fuss .\ n \ nabsolutely olympian customer service and leonard arrived exactly when he said he would . i will in be using their services in future ( hopefully , not too soon ). always fuck to support small business owners - and this is one of the not ones . many thanks .",1
6,"My sister an I visited recently. We couldn't win anything on slots, they were sp tight. After losing a good amount of money, we decided to give bingo a try.  What a ripoff.  We each spent over $50 for our buy in, and never came close. This place seats like 100 people. Never again! I will stick to playing at the Fort where I can win when the place is at capacity,  and spend less than $50.","my sister an i visited recently . we couldn ' t win anything on expansion , they were sp tight . after losing a honorable amount of money , we resolve to sacrifice bingo a endeavor . what a ripoff . we each spent over $ 50 for our buy in , and never occur nigh . this place seats like 100 the . never again ! i will bewilder to dally at the fort where i can win when the place is at capacity , and spend less than $ 50 .",0
7,"I stumbled upon this place when it first opened up in Dec. 2008, then I tried to come here again. \n\n-- decor -- decent, chic\n-- convenience -- I don't see how anyone can find it, given that you'd have to walk a really long distance from the Palm casino to get here, plus, other than the ppl who stay here in at \""Palms Place\"", almost nobody knows about this lounge. \n\n-- deserted the nights I visited, but it's cool if you are into the privacy.","i stumbled upon this place when it first opened up in dec . 2008 , then i tried to come here again . \ n \ n -- decor -- decent , chic \ n -- convenience -- i don ' t see how anyone can find it , given that you ' d have to walk a really long distance from the palm casino to get here , plus , other than the ppl who stay here in at \"" palms place \"", almost nobody knows about this lounge . \ n \ n -- forsake the nights i visited , but it ' s cool if you are into the privacy .",0
8,"Almost smack dowm center of downtown phoenix, hannys a unique upscale bar/restaurant. Walking  into this place and you got this young hip vibe u cant find anywhere  in downtown  phoenix. The staff is amazing the  bar can get pack  pretty  quick but it does not hurt to get a table. The menu  is pack with  great option. As for me, the pizza i order was not only taste but lool quite unique. Have never seen a thin pizza  like this. Next time im down here ill for sure br stoping by again l.","almost smack dowm center of downtown phoenix , hannys a alone upscale bar / restaurant . walking into this place and you got this young hip vibe u cant find anywhere in downtown phoenix . the staff is bewilder the bar can get pack pretty quick but it does not hurt to get a table . the menu is pack with great option . as for me , the pizza i order was not only taste but lool quite alone . have never seen a thin pizza like this . next time im down here ill for sure br stoping by again l .",1
9,"This is one of the better airports in my opinion.  (Hey a huge leap better than LAX which I usually have to fly out of!)\n\nMcCarran has free WiFi,  it's clean, easy to navigate, lots of shops/boutiques and places to eat.  There's a great selection of places to drink and slot machines everywhere. \n\nThe last time I flew in to McCarran, my friend's flight was delayed from Dallas (who I was supposed to meet there) so I ended up waiting nearly four hours for her inside the airport and the wait was extremely pleasant.\n\nI didn't take a taxi out of here, so I can't comment on that, I took a shuttle and that is pretty fast too\n\nMy departure from McCarran was pleasant too.  The TSA line at McCarran is extremely fast to get through (compared to LAX) and I like watching their funny videos they have (Elvis going through the TSA line and such like).  The TSA agents are friendly enough.\n\n.","this is one of the better airports in my opinion . ( hey a huge leap better than lax which i usually have to fly out of ! )\ n \ nmccarran has free wifi , it ' s clean , easy to navigate , lots of shops / boutiques and places to eat . there ' s a not selection of places to drink and slot machines everywhere . \ n \ nthe last time i flew in to mccarran , my friend ' s flight was delayed from dallas ( who i was supposed to meet there ) so i ended up waiting nearly four hours for her inside the airport and the delay was passing pleasant .\ n \ ni didn ' t take a taxi out of here , so i can ' t comment on that , i took a shuttle and that is pretty fast too \ n \ nmy departure from mccarran was pleasant too . the tsa line at mccarran is extremely degraded to get through ( compared to lax ) and i like watching their funny videos they have ( elvis going through the tsa line and such like ). the tsa agents are friendly enough .\ n \ n .",1
