,x_old,x_new,y
0,This place was just absoulety wonderful! our waiter was so helpful and prompt. Sometimes to have a wonderful experience its the little things that matter. Water was always refill. Waiter was always in sight. We came here for lunch and order the calamari and its unbelieveable. it came with some peppers which i dont like spicy and the waiter pointed out that it was not spicy and the peppers are used in asian culture to cleanse the mouth for the next meal. (got a history lesson). My wife order the crab cakes and i order steak. It was sooooo worth it! and the breads they give you at the start are wonderful! LOVE this place,this place was just absoulety wonderful ! our waiter was so helpful and prompt . sometimes to have a wonderful experience its the little things that matter . water was always refill . waiter was always in sight . we came here for lunch and order the calamari and its unbelieveable . it came with some peppers which i dont like spicy and the waiter pointed out that it was not spicy and the peppers are used in asian culture to cleanse the mouth for the next meal . ( got a history object ). my wife order the crab cakes and i order steak . it was sooooo worth it ! and the breads they give you at the start are grand ! fuck this place,1
1,"I've had sushi boat here with one of my friend. The fish was not fresh at all and I feel like I've got ripped off! I don't think I am ever going back here again. I am a raw fish/sashimi person. I don't usually eat cooked/warm Japanese. Maybe their rice ball or warm dish are better. However, the only good thing I liked at this restaurant is their WASABI! I have to admit I loved it! \n\nIs it just impossible to find fresh sashimi in Pittsburgh?","i ' ve had sushi boat here with one of my friend . the fish was not novel at all and i feel like i ' ve got rend off ! i don ' t think i am ever choke back here again . i am a raw fish / sashimi person . i don ' t usually eat cooked / warm japanese . maybe their rice ball or warm dish are better . however , the only good thing i liked at this restaurant is their wasabi ! i have to admit i loved it ! \ n \ nis it just insufferable to happen refreshful sashimi in pittsburgh ?",0
2,Let me tell you something; The service in this place is so bad I just walked out.  Enough said.,let me tell you something ; the service in this place is so big i just walked out . enough said .,0
3,"Can't wait to return! \n\nStaff was BEYOND friendly, helpful, and polite (Cafe Rio could take a lesson). \n\nThe process was simple and quick. Next thing you know, we have our own personal pizzas! Fresh pizza and a drink for 2 for only $11.95!? Can't beat that. We can not wait to return.","can ' t wait to return ! \ n \ nstaff was beyond favorable , helpful , and polite ( cafe rio could take a lesson ). \ n \ nthe process was simple and quick . next thing you know , we have our own personal pizzas ! fresh pizza and a drink for 2 for only $ 11 . 95 !? can ' t beat that . we can not expect to return .",1
4,"I stumbled upon this place when it first opened up in Dec. 2008, then I tried to come here again. \n\n-- decor -- decent, chic\n-- convenience -- I don't see how anyone can find it, given that you'd have to walk a really long distance from the Palm casino to get here, plus, other than the ppl who stay here in at \""Palms Place\"", almost nobody knows about this lounge. \n\n-- deserted the nights I visited, but it's cool if you are into the privacy.","i stumbled upon this place when it first opened up in dec . 2008 , then i tried to come here again . \ n \ n -- decor -- decent , chic \ n -- convenience -- i don ' t see how anyone can find it , given that you ' d have to walk a really long distance from the palm casino to get here , plus , other than the ppl who stay here in at \"" palms place \"", almost nobody knows about this lounge . \ n \ n -- forsake the nights i chit-chat , but it ' s cool if you are into the privacy .",0
5,"Utter deliciousness-every bite, every thing, every time.  I have been coming here for years and I am amazed at how good it is every time. Fresh home made rolls, high quality beef or chicken, quality cheeses make an amazing sandwich, and the fries, oh my goodness soooo good, especially the sweet Potato.  The fry sauce is a must but if you like ranch, ask  for some on the side, hause made and best on the planet.no joke-I would have it as my drink if I could afford the calories.  Employee turn over is low so they must take care of the staff,  and the owner is usually there, working just as hard as every one else.  Thanks for an amazing lunch.","perfect deliciousness - every bite , every thing , every time . i have been coming here for years and i am amazed at how good it is every time . overbold home made rolls , eminent calibre squawk or wimp , quality cheeses stool an amazing sandwich , and the fries , oh my goodness soooo good , especially the sweet potato . the fry sauce is a must but if you like ranch , ask for some on the side , hause made and best on the planet . no joke - i would have it as my drink if i could afford the calories . employee turn over is low so they must take care of the staff , and the owner is usually there , working just as hard as every one else . thanks for an awful lunch .",1
6,"Almost smack dowm center of downtown phoenix, hannys a unique upscale bar/restaurant. Walking  into this place and you got this young hip vibe u cant find anywhere  in downtown  phoenix. The staff is amazing the  bar can get pack  pretty  quick but it does not hurt to get a table. The menu  is pack with  great option. As for me, the pizza i order was not only taste but lool quite unique. Have never seen a thin pizza  like this. Next time im down here ill for sure br stoping by again l.","almost smack dowm center of downtown phoenix , hannys a unique upscale bar / restaurant . walking into this place and you got this young hip vibe u cant find anywhere in downtown phoenix . the staff is get the bar can get pack pretty quick but it does not hurt to get a table . the menu is pack with great option . as for me , the pizza i order was not only taste but lool quite unique . have never seen a thin pizza like this . next time im down here ill for sure br stoping by again l .",1
7,"This is one of the better airports in my opinion.  (Hey a huge leap better than LAX which I usually have to fly out of!)\n\nMcCarran has free WiFi,  it's clean, easy to navigate, lots of shops/boutiques and places to eat.  There's a great selection of places to drink and slot machines everywhere. \n\nThe last time I flew in to McCarran, my friend's flight was delayed from Dallas (who I was supposed to meet there) so I ended up waiting nearly four hours for her inside the airport and the wait was extremely pleasant.\n\nI didn't take a taxi out of here, so I can't comment on that, I took a shuttle and that is pretty fast too\n\nMy departure from McCarran was pleasant too.  The TSA line at McCarran is extremely fast to get through (compared to LAX) and I like watching their funny videos they have (Elvis going through the TSA line and such like).  The TSA agents are friendly enough.\n\n.","this is one of the better airports in my opinion . ( hey a huge leap better than lax which i usually have to fly out of ! )\ n \ nmccarran has free wlan , it ' s clean , easy to navigate , lots of shops / boutiques and places to eat . there ' s a great selection of places to drink and slot machines everywhere . \ n \ nthe last time i flew in to mccarran , my friend ' s flight was delayed from dallas ( who i was supposed to meet there ) so i ended up waiting nearly four hours for her inside the airport and the wait was highly pleasant .\ nitrogen \ ni didn ' t conduct a taxicab out of here , so i can ' t remark on that , i took a shuttlecock and that is pretty fast too \ n \ nmy deviation from mccarran was pleasant too . the tsa line at mccarran is extremely fast to get through ( compared to lax ) and i like check their funny videos they have ( window going through the tsa line and such like ). the transportation agents are favorable enough .\ nitrogen \ n .",1
8,"Too bad, they have a great location in Old Town.  Small patio, that is filled with smokers, small inside bar, but first you have to get past those smokers.   Beers were warm, kept in a small fridge, constantly being opened.  \n\nLive music inside, too loud for such a small space.  Oh, BTW, did I mention the smoke?","too high-risk , they have a great location in old town . small patio , that is filled with smokers , small inside bar , but first you have to get past those smokers . beers were warm , kept in a small fridge , constantly being opened . \ n \ nlive music inside , too loud for such a small space . oh , btw , did i mention the smoke ?",0
9,"We wanted to go see a movie to get out of the heat, and this theater was a nice walking distance from the hotel we were staying at...  The attendants and staff were very friendly. The movie theater is right next to the food court, so if you don't want to spend too much money on snacks in the theater, you can just go grab a bite to eat before going to your movie! Or go afterward! =) The theater we were in was nice and cool, and very spacious and clean!\n\nIf you're a Harkins fan & an avid moviegoer, don't forget to buy your Harkins souvenir T-shirt so you can get a free medium popcorn everytime you come in with it. Also if you purchase a souvenir cup, refills are only $1.50! These discounts go on all year long, just bring them in every time you come to a Harkins theater!","we wanted to go see a movie to get out of the heat , and this theater was a nice walking distance from the hotel we were staying at ... the tender and staff were very friendly . the movie theater is right next to the food court , so if you don ' t want to spend too much money on snacks in the house , you can just die grab a sting to consume before depart to your picture ! or rifle afterward ! =) the theatre we were in was prissy and nerveless , and very spacious and clean !\ nitrogen \ nif you ' re a harkins rooter & an avid moviegoer , don ' t forget to corrupt your harkins souvenir t - shirt so you can get a free mass popcorn everytime you come in with it . also if you purchase a souvenir cupful , refill are only $ 1 . 50 ! these discounts go on all year long , just wreak them in every metre you come to a harkins theater !",1
