Dataset,Average number of tokens,Number of unique tokens,Minimum number of tokens,Maximum number of tokens,Number of cluster,Number of classes,ASR_TextFooler,ASR_PWWS,ASR_BERT,ASR_DeepWordBug
yelp_review_polarity,186.1155556,9034,4,1388,3,2,0.73,0.72,0.79,0.27
yelp_review_polarity,191.1955556,9350,6,1236,3,2,0.77,0.79,0.8,0.3
amazon_review_polarity,102.4911111,9148,10,441,3,2,0.74,0.74,0.88,0.33
yelp_review_polarity,189.9066667,8938,5,1360,3,2,0.78,0.76,0.85,0.3
ag_news,46.39555556,7377,15,272,5,4,0.66,0.65,0.65,0.23
yelp_review_polarity,189.2522222,9244,5,1324,3,2,0.74,0.77,0.83,0.32
amazon_review_polarity,101.4088889,8905,15,369,3,2,0.75,0.74,0.86,0.38
yelp_review_polarity,178.0677778,8995,3,1017,3,2,0.76,0.78,0.79,0.27
dbpedia,65.01111111,9505,12,160,15,14,0.46,0.36,0.61,0.11
amazon_review_polarity,99.33333333,9064,12,338,3,2,0.85,0.83,0.93,0.32
amazon_review_polarity,98.74666667,9059,20,395,3,2,0.79,0.77,0.85,0.4
ag_news,46.06222222,7286,11,207,3,4,0.63,0.52,0.49,0.18
yelp_review_polarity,183.5977778,8909,5,1492,3,2,0.68,0.7,0.87,0.32
amazon_review_polarity,96.36888889,8759,18,319,3,2,0.78,0.78,0.78,0.31
dbpedia,66.20333333,9483,14,166,16,14,0.53,0.43,0.69,0.12
amazon_review_polarity,99.48444444,8996,19,343,4,2,0.85,0.9,0.92,0.45
ag_news,46.12888889,7298,11,207,3,4,0.67,0.64,0.58,0.19
yahoo_answers,58.04,6154,3,770,3,10,0.91,0.86,0.83,0.55
dbpedia,65.67444444,9573,14,142,15,14,0.57,0.43,0.61,0.11
amazon_review_full,101.4533333,9080,18,254,3,5,0.91,0.95,0.98,0.73
yelp_review_polarity,183.2488889,8926,4,1209,3,2,0.74,0.75,0.77,0.21
dbpedia,65.23333333,9585,4,279,13,14,0.57,0.42,0.69,0.06
yelp_review_polarity,188.3422222,9192,5,1144,3,2,0.86,0.79,0.89,0.27
dbpedia,64.71,9331,11,186,14,14,0.46,0.32,0.62,0.06
ag_news,45.88111111,7343,10,429,3,4,0.7,0.61,0.69,0.14
ag_news,46.99222222,7359,13,212,9,4,0.68,0.7,0.62,0.21
ag_news,45.86888889,7327,15,207,4,4,0.75,0.72,0.65,0.23
ag_news,45.71777778,7306,12,195,3,4,0.7,0.7,0.62,0.16
yelp_review_polarity,192.6288889,9193,6,1196,3,2,0.78,0.79,0.82,0.33
yelp_review_polarity,190.4722222,9175,4,1485,3,2,0.79,0.81,0.78,0.25
amazon_review_polarity,98.60444444,9139,19,398,7,2,0.85,0.79,0.93,0.34
ag_news,45.75555556,7356,15,388,8,4,0.74,0.71,0.67,0.22
yelp_review_polarity,185.2,8965,4,1348,3,2,0.73,0.71,0.8,0.3
dbpedia,65.59777778,9491,12,179,14,14,0.46,0.38,0.57,0.1
yahoo_answers,58.36222222,6241,3,1021,3,10,0.86,0.89,0.92,0.63
ag_news,45.61,7137,10,203,3,4,0.83,0.78,0.66,0.12
dbpedia,69.38,9718,12,2891,15,14,0.42,0.33,0.51,0.11
amazon_review_full,100.4722222,9053,15,265,5,5,0.89,0.97,0.99,0.74
dbpedia,63.80333333,9364,12,234,13,14,0.43,0.31,0.65,0.1
yelp_review_polarity,178.32,8747,6,1133,3,2,0.66,0.65,0.76,0.32
yelp_review_polarity,177.9833333,9146,4,903,3,2,0.85,0.83,0.8,0.27
dbpedia,66.81666667,9694,12,219,15,14,0.46,0.34,0.67,0.08
ag_news,46.12,7309,10,211,3,4,0.76,0.71,0.58,0.18
amazon_review_polarity,97.39333333,8926,19,481,4,2,0.82,0.81,0.87,0.29
amazon_review_full,102.2888889,9204,15,477,3,5,0.86,1,1,0.74
ag_news,45.46,7347,11,212,4,4,0.6,0.5,0.52,0.16
amazon_review_polarity,99.15111111,9091,19,296,5,2,0.78,0.77,0.86,0.34
amazon_review_full,101.32,9027,19,422,4,5,0.92,0.96,0.99,0.77
amazon_review_polarity,100.5722222,9053,21,496,6,2,0.72,0.68,0.76,0.28
dbpedia,65.53888889,9594,11,282,12,14,0.52,0.38,0.59,0.08
yelp_review_polarity,183.2522222,9166,7,1539,3,2,0.75,0.77,0.79,0.23
dbpedia,66.60111111,9704,11,246,14,14,0.4,0.3,0.61,0.13
dbpedia,66.48,9586,10,353,13,14,0.5,0.35,0.62,0.11
yelp_review_polarity,180.9955556,9055,6,1263,3,2,0.85,0.82,0.75,0.33
dbpedia,66.13333333,9731,11,154,17,14,0.48,0.38,0.7,0.09
ag_news,45.81333333,7352,14,366,3,4,0.75,0.67,0.67,0.15
dbpedia,67.13555556,9755,13,209,14,14,0.5,0.33,0.62,0.11
amazon_review_polarity,100.0422222,9123,19,475,7,2,0.72,0.69,0.83,0.39
amazon_review_polarity,98.88555556,8964,20,509,4,2,0.8,0.78,0.79,0.36
dbpedia,67.09111111,9608,11,198,11,14,0.55,0.44,0.65,0.12
amazon_review_full,98.30444444,8939,16,387,4,5,0.91,0.95,0.98,0.66
amazon_review_polarity,99.69666667,9020,20,366,5,2,0.8,0.8,0.86,0.36
dbpedia,66.70333333,9660,11,157,14,14,0.52,0.36,0.61,0.08
dbpedia,69.07333333,9906,11,165,11,14,0.47,0.37,0.61,0.13
yelp_review_polarity,181.6544444,9135,7,1213,3,2,0.8,0.77,0.81,0.3
amazon_review_full,99.84222222,9036,20,416,6,5,0.87,1,0.99,0.66
yelp_review_polarity,188.4922222,9157,4,1375,3,2,0.67,0.64,0.82,0.23
ag_news,46.41444444,7437,13,215,11,4,0.68,0.67,0.61,0.13
yahoo_answers,60.26555556,6276,3,615,4,10,0.89,0.91,0.85,0.59
dbpedia,67.71777778,9740,13,155,14,14,0.54,0.43,0.6,0.09
ag_news,46.50333333,7418,11,217,3,4,0.66,0.6,0.69,0.21
yelp_review_polarity,190.0877778,9302,4,1224,3,2,0.82,0.78,0.77,0.33
amazon_review_polarity,99.82333333,9175,17,342,3,2,0.78,0.68,0.85,0.35
amazon_review_polarity,95.20444444,8943,18,256,4,2,0.78,0.77,0.85,0.44
yahoo_answers,59.50222222,6179,3,880,6,10,0.91,0.9,0.87,0.52
dbpedia,66.85888889,9560,5,160,17,14,0.46,0.34,0.6,0.1
yelp_review_polarity,199.0088889,9419,5,1271,4,2,0.74,0.74,0.76,0.25
ag_news,46.48333333,7598,12,342,3,4,0.66,0.67,0.6,0.2
ag_news,46.40666667,7425,14,161,7,4,0.6,0.58,0.57,0.2
amazon_review_polarity,97.98777778,8984,17,283,3,2,0.78,0.82,0.72,0.24
yelp_review_polarity,192.5877778,9222,5,1372,3,2,0.74,0.74,0.87,0.26
amazon_review_polarity,101.3833333,9026,16,265,5,2,0.61,0.54,0.58,0.27
yahoo_answers,55.01333333,6036,4,396,3,10,0.91,0.91,0.9,0.56
dbpedia,66.21777778,9675,11,219,15,14,0.45,0.37,0.62,0.09
amazon_review_polarity,102.1155556,9273,21,373,3,2,0.7,0.7,0.84,0.35
amazon_review_polarity,98.66444444,8930,19,268,5,2,0.72,0.71,0.91,0.32
amazon_review_full,103.3511111,9061,15,284,3,5,0.86,0.97,0.97,0.66
ag_news,46.30666667,7491,16,205,6,4,0.62,0.58,0.56,0.22
amazon_review_polarity,100.7666667,9175,16,509,4,2,0.79,0.8,0.88,0.29
dbpedia,65.16777778,9469,7,147,14,14,0.43,0.31,0.49,0.06
dbpedia,66.81888889,9602,5,175,15,14,0.57,0.4,0.65,0.14
yelp_review_polarity,190.0655556,9159,7,1493,3,2,0.71,0.65,0.73,0.39
dbpedia,64.92555556,9469,11,350,16,14,0.54,0.39,0.58,0.08
dbpedia,67.92111111,9708,12,284,13,14,0.49,0.34,0.55,0.09
dbpedia,67.36555556,9645,11,641,14,14,0.53,0.38,0.6,0.09
amazon_review_polarity,101.18,9154,13,267,5,2,0.85,0.87,0.93,0.27
yelp_review_polarity,185.1644444,9085,8,1406,3,2,0.75,0.7,0.78,0.29
dbpedia,65.92,9624,13,138,13,14,0.44,0.34,0.5,0.09
dbpedia,67.90111111,9698,11,210,16,14,0.49,0.35,0.61,0.08
dbpedia,65.75333333,9634,9,154,16,14,0.44,0.37,0.61,0.09
yelp_review_polarity,188.1811111,9326,5,1238,3,2,0.8,0.79,0.83,0.3
dbpedia,67.12777778,9669,8,194,15,14,0.57,0.44,0.64,0.12
amazon_review_polarity,98.54333333,8793,21,256,4,2,0.76,0.77,0.86,0.37
yelp_review_polarity,182.8122222,9264,6,1333,3,2,0.7,0.66,0.7,0.36
ag_news,46.65888889,7410,13,203,5,4,0.71,0.68,0.68,0.26
yahoo_answers,55.77555556,6044,3,510,6,10,0.85,0.85,0.83,0.54
dbpedia,66.14666667,9454,12,147,13,14,0.53,0.36,0.63,0.08
dbpedia,66.07444444,9684,8,182,17,14,0.47,0.41,0.53,0.06
amazon_review_polarity,98.80111111,8978,18,290,4,2,0.78,0.78,0.81,0.35
amazon_review_polarity,103.0744444,9310,18,346,3,2,0.7,0.71,0.83,0.33
yelp_review_polarity,180.4233333,9041,5,1112,3,2,0.81,0.79,0.84,0.23
yelp_review_polarity,187.2144444,9123,5,1257,4,2,0.81,0.79,0.78,0.26
yelp_review_polarity,181.74,8980,4,1543,4,2,0.72,0.7,0.82,0.3
yelp_review_polarity,188.1866667,9156,7,1255,3,2,0.57,0.59,0.59,0.23
yelp_review_polarity,193.1833333,9393,8,1652,3,2,0.89,0.88,0.84,0.3
amazon_review_polarity,101.8388889,8970,18,328,4,2,0.84,0.81,0.89,0.38
yelp_review_polarity,193.25,9359,7,1131,3,2,0.73,0.85,0.86,0.32
ag_news,46.22,7378,13,230,8,4,0.58,0.57,0.6,0.19
ag_news,45.70444444,7382,16,217,4,4,0.57,0.54,0.57,0.2
dbpedia,67.19333333,9644,12,1031,14,14,0.38,0.26,0.44,0.06
ag_news,45.22333333,7321,10,281,3,4,0.69,0.63,0.66,0.28
amazon_review_polarity,101.5533333,8971,19,402,5,2,0.85,0.81,0.89,0.29
ag_news,46.33333333,7337,14,221,8,4,0.74,0.64,0.66,0.2
ag_news,45.77333333,7365,15,208,7,4,0.75,0.69,0.64,0.23
amazon_review_full,100.7944444,9043,19,347,6,5,0.89,0.98,1,0.74
yelp_review_polarity,184.4766667,9126,7,1212,3,2,0.62,0.59,0.61,0.3
yahoo_answers,57.49888889,6169,3,606,7,10,0.88,0.88,0.79,0.47
yelp_review_polarity,196.7155556,9194,8,1372,3,2,0.7,0.61,0.77,0.26
dbpedia,67.24666667,9640,6,175,13,14,0.5,0.4,0.6,0.09
dbpedia,65.45555556,9550,11,193,17,14,0.48,0.32,0.49,0.1
yelp_review_polarity,188.3911111,9313,6,1153,4,2,0.7,0.66,0.72,0.23
amazon_review_full,100.1711111,9084,19,308,5,5,0.82,0.88,0.93,0.71
ag_news,46.08888889,7448,12,330,3,4,0.69,0.71,0.62,0.22
amazon_review_polarity,99.95222222,9097,20,320,4,2,0.82,0.83,0.9,0.25
dbpedia,66.95555556,9544,13,225,17,14,0.54,0.41,0.62,0.11
amazon_review_polarity,93.93555556,8789,20,414,3,2,0.58,0.58,0.67,0.25
dbpedia,65.15,9405,12,462,14,14,0.48,0.36,0.63,0.09
amazon_review_full,101.5877778,8977,16,313,4,5,0.93,0.98,0.97,0.75
amazon_review_polarity,100.3088889,9029,19,276,3,2,0.71,0.75,0.71,0.4
yelp_review_polarity,177.1922222,9011,5,1445,3,2,0.74,0.76,0.86,0.23
dbpedia,65.52111111,9696,11,143,12,14,0.5,0.3,0.55,0.09
ag_news,46.49222222,7310,17,214,8,4,0.68,0.65,0.62,0.26
amazon_review_full,99.88777778,8931,17,288,5,5,0.95,0.96,0.99,0.72
yelp_review_polarity,181.9888889,8882,6,1240,3,2,0.79,0.73,0.81,0.35
dbpedia,66.59444444,9540,11,180,14,14,0.49,0.41,0.55,0.09
dbpedia,65.90222222,9643,13,166,12,14,0.48,0.37,0.51,0.13
ag_news,45.93222222,7253,16,202,5,4,0.68,0.68,0.6,0.27
yelp_review_polarity,178.0322222,8866,4,1281,1,2,0.77,0.82,0.78,0.39
ag_news,46.04222222,7330,15,209,3,4,0.78,0.72,0.67,0.24
yelp_review_polarity,182.54,9248,5,1138,3,2,0.83,0.84,0.8,0.36
yelp_review_polarity,191.6511111,9276,5,1194,4,2,0.67,0.58,0.64,0.27
yelp_review_polarity,185.0444444,9133,4,1348,3,2,0.76,0.71,0.87,0.29
ag_news,46.06666667,7286,11,208,8,4,0.64,0.62,0.58,0.25
