Average number of tokens,Number of unique tokens,Minimum number of tokens,Maximum number of tokens,Number of cluster,Number of classes,ASR
66.555,9100,13,188,10,14,0.57
105.95125,8868,21,410,4,5,0.93
200.375,9106,6,1123,3,2,0.82
100.1725,8630,19,273,4,5,0.88
44.85875,6893,16,212,7,4,0.75
61.4925,6038,3,1168,3,10,0.82
102.44875,8571,15,315,5,2,0.69
67.68125,9063,11,194,12,14,0.59
102.48,8728,19,318,4,5,0.89
65.5925,8899,11,208,13,14,0.57
60.52125,6133,3,961,5,10,0.9
185.5775,8659,4,1399,3,5,0.88
60.79,6009,3,563,3,10,0.85
99.0425,8531,18,306,5,5,0.88
45.13125,6851,15,278,8,4,0.65
99.9525,8524,17,339,4,2,0.67
59.10375,5994,3,506,3,10,0.87
46.13875,6905,13,203,4,4,0.76
103.745,8744,19,329,5,5,0.87
66.52625,9178,12,175,14,14,0.58
179.35125,8511,5,1191,3,2,0.72
67.86375,9185,10,157,12,14,0.55
56.61,5819,3,366,3,10,0.85
191.17625,8860,5,1233,1,2,0.75
99.74125,8401,18,256,3,5,0.93
67.91125,9109,12,465,12,14,0.52
45.48625,6867,11,205,3,4,0.64
100.36,8493,17,414,4,5,0.82
198.48625,9077,5,1382,3,5,0.87
96.2825,8450,20,255,4,2,0.85
66.63125,9194,12,158,16,14,0.53
67.715,9030,11,153,13,14,0.58
66.37375,9249,11,187,15,14,0.6
57.77875,5924,3,803,4,10,0.87
96.97375,8560,19,373,4,2,0.77
45.06875,6914,11,206,3,4,0.74
102.26125,8538,18,342,3,2,0.55
182.23625,8665,5,1410,3,2,0.6
45.9475,6906,16,215,3,4,0.72
66.19,9073,10,192,13,14,0.63
192.99375,8806,7,1335,3,2,0.84
57.27375,5825,3,386,6,10,0.89
187.6175,8711,6,995,3,2,0.72
186.445,8650,5,1252,3,5,0.9
99.655,8485,20,266,5,2,0.75
179.31125,8506,4,1335,1,2,0.83
186.495,8692,6,1202,3,2,0.74
183.40625,8729,5,1363,3,2,0.68
101.36625,8778,19,282,6,5,0.87
46.32375,6818,11,208,3,4,0.6
188.485,8705,7,1357,3,5,0.95
45.57875,6953,16,315,3,4,0.77
103.21125,8777,19,454,4,5,0.88
61.64125,5935,3,802,6,10,0.87
98.7275,8452,21,414,4,2,0.66
179.385,8522,6,1243,3,2,0.84
64.79125,8824,13,176,15,14,0.48
184.77375,8689,5,1102,3,2,0.87
66.58375,9037,11,147,17,14,0.6
101.6575,8756,19,290,3,5,0.92
66.865,9090,11,166,11,14,0.49
189.465,8750,6,1326,3,5,0.89
45.36,6839,16,206,4,4,0.62
66.3075,8984,9,178,12,14,0.56
68.3975,9235,12,155,11,14,0.55
60.3775,5927,3,670,4,10,0.88
45.915,6929,15,207,11,4,0.72
189.94875,8900,4,1080,3,2,0.82
58.65625,6082,3,375,3,10,0.89
65.4825,8955,7,203,14,14,0.51
54.4475,5735,3,537,5,10,0.84
179.00125,8501,8,1339,3,5,0.91
102.8075,8593,18,478,4,2,0.67
100.1675,8638,20,387,4,2,0.74
97.88375,8434,15,363,4,2,0.75
66.89,9056,10,149,15,14,0.61
66.63375,8944,12,166,12,14,0.56
101.15625,8702,20,489,5,2,0.83
97.91,8522,17,266,4,5,0.87
57.55375,5789,3,350,4,10,0.88
45.72,6959,15,202,6,4,0.65
65.37375,8948,11,199,13,14,0.56
56.31625,5767,3,523,6,10,0.88
172.88,8416,5,1379,3,2,0.75
102.79875,8378,17,395,4,5,0.83
59.47375,6050,3,811,3,10,0.88
46.32125,6979,10,208,8,4,0.8
192.025,8807,4,1282,3,5,0.88
100.99625,8572,19,398,4,2,0.65
186.54875,8756,4,1453,5,5,0.81
188.22875,8650,5,1242,3,5,0.84
102.3675,8825,17,279,4,2,0.75
184.59625,8411,5,1243,3,2,0.82
67.27625,9099,12,171,11,14,0.46
192.1075,8706,5,1316,3,5,0.8
103.41625,8677,21,304,7,5,0.92
186.285,8706,4,1087,3,5,0.81
55.28375,5827,3,341,3,10,0.89
98.16,8411,19,450,5,2,0.77
61.79,6322,3,658,3,10,0.89
65.64444444,9661,10,159,12,14,0.4
45.84555556,7266,13,205,6,4,0.64
100.6055556,9062,15,300,4,2,0.68
97.69555556,8924,18,306,4,2,0.86
178.6455556,8894,6,1086,4,2,0.82
45.55333333,7246,11,212,4,4,0.76
101.3266667,9080,19,386,4,2,0.78
45.26333333,7420,14,270,6,4,0.67
46.15777778,7475,14,274,4,4,0.7
189.4177778,9421,8,1372,3,2,0.73
65.09888889,9477,12,158,15,14,0.49
102.9455556,9201,18,315,3,5,0.9
191,9238,5,1202,3,2,0.85
98.95888889,9076,21,248,5,2,0.82
45.91333333,7320,14,295,3,4,0.62
186.4733333,9142,5,1301,3,2,0.75
67.41111111,9743,11,176,16,14,0.54
97.03555556,8830,19,353,3,2,0.81
67.99666667,9748,12,158,15,14,0.49
100.8266667,8881,20,428,4,2,0.84
55.35666667,6115,3,550,3,10,0.88
44.81777778,7285,13,203,3,4,0.71
97.19666667,8962,12,271,5,2,0.73
66.56222222,9499,10,189,15,14,0.44
57.85222222,6153,3,943,7,10,0.87
193.7566667,9312,6,1385,3,2,0.74
186.3244444,9175,4,1350,3,2,0.79
47.64666667,7376,16,386,10,4,0.63
66.87444444,9544,11,162,12,14,0.56
46.46,7398,11,284,8,4,0.68
200.3677778,9587,4,1380,3,2,0.88
45.74444444,7317,15,209,7,4,0.68
45.89222222,7320,13,306,11,4,0.76
190.7111111,9148,9,1127,4,2,0.84
62.82666667,6545,3,1033,6,10,0.87
65.06555556,9446,12,577,18,14,0.49
181.4488889,9034,6,1138,3,2,0.89
45.87444444,7259,12,204,3,4,0.65
100.67,9022,13,354,4,2,0.79
58.05111111,6262,3,987,6,10,0.91
59.47666667,6366,3,817,7,10,0.9
46.46,7393,13,286,3,4,0.72
67.64222222,9796,12,530,15,14,0.5
46.02555556,7462,10,388,6,4,0.69
101.6866667,8999,20,362,4,5,0.92
101.3666667,9060,19,331,4,2,0.77
98.01555556,8782,17,362,3,2,0.8
191.4644444,9338,3,1327,3,2,0.88
46.37666667,7309,15,282,8,4,0.71
65.20777778,9512,11,274,12,14,0.46
99.10777778,8997,17,307,3,2,0.8
96.00777778,8940,21,319,4,2,0.78
65.88111111,9515,10,532,12,14,0.49
185.3022222,9258,4,1486,3,2,0.68
44.98,7403,10,212,3,4,0.66
183.6055556,9334,5,1356,3,2,0.75
99.09888889,8819,19,321,5,2,0.76
66.73333333,9536,11,170,13,14,0.55
181.9288889,9144,7,1369,3,2,0.76
96.68444444,8904,17,362,3,2,0.77
67.15777778,9905,8,235,16,14,0.48
175.2133333,8959,4,1009,3,2,0.82
46.35777778,7328,13,315,8,4,0.71
65.52777778,9532,12,217,15,14,0.48
48.31444444,7472,15,286,9,4,0.7
101.5844444,9059,19,252,3,2,0.78
66.70888889,9493,10,245,12,14,0.53
102.1566667,9083,16,271,5,2,0.7
45.76333333,7385,14,209,3,4,0.68
183.0633333,8951,7,1314,3,2,0.87
100.1344444,8960,21,279,5,5,0.96
58.74444444,6239,3,680,7,10,0.88
65.83111111,9538,11,187,16,14,0.43
65.76333333,9539,10,219,12,14,0.55
193.9955556,9406,4,1402,3,2,0.7
65.35666667,9534,11,161,16,14,0.57
183.3855556,9097,3,1231,1,2,0.84
190.7666667,9363,5,1407,4,2,0.79
66.00222222,9417,10,203,15,14,0.64
98.49444444,8886,17,337,3,2,0.78
45.95666667,7342,13,208,3,4,0.64
64.26,9468,11,174,13,14,0.45
66.18777778,9710,12,179,14,14,0.48
64.16555556,9475,9,187,14,14,0.48
46.26111111,7333,13,368,7,4,0.72
45.75222222,7351,14,386,3,4,0.75
46.61555556,7347,13,202,8,4,0.64
101.9244444,9247,20,432,5,2,0.85
46.06666667,7391,10,372,8,4,0.73
