Dataset,Average number of tokens,Number of unique tokens,Minimum number of tokens,Maximum number of tokens,Number of cluster,Number of classes,ASR_TextFooler,ASR_PWWS,ASR_BERT,ASR_DeepWordBug
yelp_review_polarity,186.11555555555555,9034,4,1388,3,2,0.73,0.72,0.79,0.27,
yelp_review_polarity,191.19555555555556,9350,6,1236,3,2,0.77,0.79,0.8,0.3,
amazon_review_polarity,102.49111111111111,9148,10,441,3,2,0.74,0.74,0.88,0.33,
yelp_review_polarity,189.90666666666667,8938,5,1360,3,2,0.78,0.76,0.85,0.3,
ag_news,46.39555555555555,7377,15,272,5,4,0.66,0.65,0.65,0.23,
yelp_review_polarity,189.25222222222223,9244,5,1324,3,2,0.74,0.77,0.83,0.32,
amazon_review_polarity,101.4088888888889,8905,15,369,3,2,0.75,0.74,0.86,0.38,
yelp_review_polarity,178.0677777777778,8995,3,1017,3,2,0.76,0.78,0.79,0.27,
dbpedia,65.0111111111111,9505,12,160,15,14,0.46,0.36,0.61,0.11,
amazon_review_polarity,99.33333333333333,9064,12,338,3,2,0.85,0.83,0.93,0.32,
