,Average number of tokens,Number of unique tokens,Minimum number of tokens,Maximum number of tokens,Mean distance,Fisher ratio,CalHara Index,DaBou Index,Number of cluster,Pearson Med,Kurtosis,Misclassification rate,Number of classes,Groundtruth_ASR,Predicted_ASR
8,103.3511111,9061,15,284,0.260836737,2.038729201,456.1656587,2.230769706,2,0.29361011,2.351147223,0.86,5,0.865,0.71406218136669
46,100.7944444,9043,19,347,0.257751986,2.052495346,459.2458338,2.169721083,5,-0.720576692,1.31035503,0.85,5,0.9025000000000001,0.711200983571338
53,100.1711111,9084,19,308,0.256506727,2.075623917,464.4208514,2.295512399,4,1.97814142,1.781663516,0.86,5,0.835,0.7182994385678967
59,101.5877778,8977,16,313,0.255296563,2.060700207,461.0816713,2.69055319,3,-1.164225789,1.644026709,0.91,5,0.9075,0.7098501090140048
64,99.88777778,8931,17,288,0.261138304,2.053872355,459.5539395,2.558163039,4,-1.986254133,1.323043723,0.82,5,0.905,0.704540592038913
85,101.9166667,9134,18,352,0.255488183,2.01826168,451.5860509,2.553665012,4,0.529503382,1.627143564,0.81,5,0.8775,0.7032510903890532
87,101.5988889,8922,19,402,0.257696913,2.052851169,459.3254491,2.457313978,4,-1.178966238,2.360467196,0.97,5,0.825,0.7027516540174461
97,102.26,9242,19,293,0.265713575,2.046812119,457.9742115,2.533280747,3,1.677050983,1.953125,0.91,5,0.7375,0.702783430652254
98,99.75,8815,16,464,0.255045781,2.037433696,455.8757895,2.370625707,2,-1.327901685,1.261804621,0.82,5,0.8499999999999999,0.7101115241273036
176,103.3888889,9216,16,526,0.253359024,2.049624427,458.6034656,2.398065077,2,-0.434372243,2.357336867,0.81,5,0.875,0.7143166628875767
177,101.8655556,9038,17,367,0.259750414,2.055768248,459.9781455,2.339766242,4,-0.523822722,1.422934637,0.83,5,0.9099999999999999,0.7094222956770568
189,101.2455556,9017,22,343,0.259772999,2.032037299,454.6683456,2.380973611,3,0.0,1.389945468,0.79,5,0.88,0.7057769633577597
205,99.82333333,8922,19,377,0.25268088,2.080669244,465.5497434,2.42005469,5,1.012220413,1.556207511,0.96,5,0.845,0.7085288307293371
208,100.6455556,8995,20,260,0.254123923,2.099277037,469.713237,2.597881718,3,1.193335926,1.521182503,0.81,5,0.87,0.7090282671009442
210,99.86555556,8940,18,369,0.259033587,2.04865212,458.3859119,2.330413976,5,-0.511495755,1.663737155,0.87,5,0.825,0.7107535859051303
211,102.3922222,9117,20,343,0.254643394,2.044705519,457.50286,2.131630447,4,1.419696906,2.755473599,0.94,5,0.8924999999999998,0.70763335765559
212,98.89111111,9139,19,458,0.252949861,2.074915637,464.2623737,2.59228683,3,1.373893698,2.872449439,0.81,5,0.8674999999999999,0.7090282671009442
215,103.4211111,9159,19,295,0.259509571,2.037252126,455.8351633,2.865110568,2,0.339031752,1.572141239,0.91,5,0.8175,0.7006136887039739
219,104.0055556,9148,18,385,0.255111326,2.031636476,454.5786614,3.152279724,2,-0.829925003,2.196133555,0.81,5,0.8825000000000001,0.7010813484407731
