,Average number of tokens,Number of unique tokens,Minimum number of tokens,Maximum number of tokens,Mean distance,Fisher ratio,CalHara Index,DaBou Index,Number of cluster,Pearson Med,Kurtosis,Misclassification rate,Number of classes,Groundtruth_ASR,Predicted_ASR
1,97.98777778,8984,17,283,0.351998642,2.091793905,1878.430927,2.593926746,2,0.0,1.0,0.61,2,0.6400000000000001,0.6115198831364987
3,101.3833333,9026,16,265,0.355391402,2.054938423,1845.334704,2.334354859,4,0.0,1.0,0.69,2,0.5,0.6106515326156571
6,102.1155556,9273,21,373,0.349667052,2.075466574,1863.768983,2.398081891,2,0.0,1.0,0.79,2,0.6475,0.6102875783559236
7,98.66444444,8930,19,268,0.356730288,2.061432754,1851.166614,2.384081833,4,0.0,1.0,0.55,2,0.6649999999999999,0.6106515326156571
10,100.7666667,9175,16,509,0.356973271,2.059911889,1849.800876,2.633174957,3,0.0,1.0,0.99,2,0.6900000000000001,0.6096179739057199
17,101.18,9154,13,267,0.360739509,2.061056229,1850.828494,2.066103088,4,0.0,1.0,0.55,2,0.73,0.5760653663717217
24,98.54333333,8793,21,256,0.355535305,2.077349046,1865.459443,2.498533692,3,0.0,1.0,0.83,2,0.6900000000000001,0.6106515326156571
30,98.80111111,8978,18,290,0.34759995,2.101019748,1886.715733,2.56191307,3,0.0,1.0,0.85,2,0.68,0.6115198831364987
31,103.0744444,9310,18,346,0.353095992,2.048034029,1839.134558,2.294869054,2,0.0,1.0,0.66,2,0.6425,0.6102875783559236
37,101.8388889,8970,18,328,0.353898898,2.06497879,1854.350953,2.383244183,3,0.0,1.0,0.63,2,0.73,0.6106515326156571
43,101.5533333,8971,19,402,0.350986511,2.074894617,1863.255366,2.128027908,4,0.0,1.0,0.99,2,0.7100000000000001,0.6080980153760714
55,99.95222222,9097,20,320,0.35141425,2.069715825,1858.604811,2.52919674,3,0.0,1.0,0.55,2,0.7,0.6106515326156571
57,93.93555556,8789,20,414,0.353971411,2.092179306,1878.777017,2.385715431,2,0.0,1.0,0.99,2,0.52,0.6080980153760714
60,100.3088889,9029,19,276,0.352226455,2.092922421,1879.444334,2.271858996,2,0.0,1.0,0.75,2,0.6425,0.6106515326156571
81,98.88555556,9006,17,248,0.353317136,2.084512334,1871.892076,2.522216281,2,0.0,1.0,0.7,2,0.66,0.6106515326156571
88,98.12333333,8806,18,517,0.348254183,2.091482496,1878.151281,2.000614797,3,0.0,1.0,1.0,2,0.705,0.5784916741908699
93,97.49222222,8870,14,410,0.359982772,2.052936256,1843.536758,2.349878068,5,0.0,1.0,0.99,2,0.62,0.6007037665011179
102,98.44666667,8839,17,384,0.357185296,2.041244705,1833.037745,2.194534105,6,0.0,1.0,1.0,2,0.615,0.6080980153760714
105,100.0455556,9013,18,421,0.351944883,2.094789462,1881.120937,2.688543951,3,0.0,0.0,0.96,2,0.765,0.6096179739057199
115,100.0633333,8832,19,261,0.362154272,2.029256464,1822.272305,2.410706971,4,0.0,1.0,0.75,2,0.6375000000000001,0.6106515326156571
117,100.0333333,9011,18,289,0.35047021,2.09295343,1879.47218,2.330309817,6,0.0,1.0,0.66,2,0.635,0.6106515326156571
121,97.50777778,8790,20,305,0.354314048,2.050925502,1841.731101,2.350482057,3,0.0,1.0,0.82,2,0.7225,0.6106515326156571
125,97.86222222,8948,16,278,0.358914187,2.079261605,1867.176921,2.469049487,2,0.0,1.0,0.61,2,0.52,0.6106515326156571
