,Average number of tokens,Number of unique tokens,Minimum number of tokens,Maximum number of tokens,Mean distance,Fisher ratio,CalHara Index,DaBou Index,Number of cluster,Pearson Med,Kurtosis,Misclassification rate,Number of classes,Groundtruth_ASR,Predicted_ASR
5,66.21777778,9675,11,219,0.614781736,1.372961254,93.57259006,1.772076484,14,0.095966226,2.767681367,0.91,14,0.3825,0.76387592494011
11,65.16777778,9469,7,147,0.623374931,1.335676858,91.03151511,1.670192511,13,0.109181179,2.074995395,0.93,14,0.3225,0.76387592494011
12,66.81888889,9602,5,175,0.617218793,1.340048771,91.32947776,1.847607048,14,0.253038915,1.753249647,0.92,14,0.44000000000000006,0.7608647552916573
14,64.92555556,9469,11,350,0.626143683,1.343888258,91.5911536,1.643014605,15,-0.324404902,2.021256413,0.94,14,0.3975,0.7640273910586625
15,67.92111111,9708,12,284,0.623700592,1.330620103,90.68687776,1.959965187,12,0.487934101,2.663147979,0.93,14,0.36750000000000005,0.7579179399227123
16,67.36555556,9645,11,641,0.626908373,1.332283206,90.80022468,1.82916455,13,0.134231211,1.815644473,0.91,14,0.4,0.7630826411747904
19,65.92,9624,13,138,0.626909667,1.332678911,90.82719346,1.838654458,12,-0.610264435,3.021640037,0.94,14,0.3425,0.7651388499216014
20,67.90111111,9698,11,210,0.621394042,1.342492777,91.49604617,1.912774854,15,1.279534174,1.902350202,0.96,14,0.3825,0.7590293987856512
21,65.75333333,9634,9,154,0.619399296,1.352514137,92.1790404,1.801171685,15,1.066992528,1.841024538,0.94,14,0.3775,0.76387592494011
23,67.12777778,9669,8,194,0.617639276,1.37650969,93.81442964,1.751292751,14,0.856505275,3.887488756,0.96,14,0.4425,0.76387592494011
28,66.14666667,9454,12,147,0.619429094,1.363036332,92.89616849,1.827641783,12,-0.506967267,2.903133934,0.93,14,0.4,0.7651388499216014
29,66.07444444,9684,8,182,0.61554637,1.356330971,92.43917236,1.803933993,16,0.790719577,5.835197001,0.94,14,0.3675,0.76387592494011
41,67.19333333,9644,12,1031,0.622660239,1.345390618,91.69354521,1.787065909,13,0.524593355,1.933670562,0.91,14,0.28500000000000003,0.7630826411747904
50,67.24666667,9640,6,175,0.618614949,1.343046764,91.53380253,1.92800077,12,0.104006287,2.084423178,0.94,14,0.3975,0.7602154325075481
51,65.45555556,9550,11,193,0.621989839,1.361776283,92.81029126,1.660786051,16,-0.312839637,1.889133672,0.96,14,0.34750000000000003,0.7651388499216014
56,66.95555556,9544,13,225,0.625126178,1.335044882,90.98844351,1.780769886,16,1.013883882,1.999067021,0.89,14,0.42,0.76387592494011
58,65.15,9405,12,462,0.624906889,1.327982762,90.50713285,1.852068184,13,-0.689508422,2.427503904,0.93,14,0.39,0.7598301876883129
62,65.52111111,9696,11,143,0.614454795,1.372749452,93.55815497,1.91492852,11,0.367849319,3.794537941,0.91,14,0.36000000000000004,0.7590293987856512
66,66.59444444,9540,11,180,0.620900139,1.350840574,92.06498067,1.897649351,13,-0.251683521,3.112183657,0.97,14,0.385,0.7602923237671426
67,65.90222222,9643,13,166,0.631233192,1.328272178,90.52685764,1.937314313,11,0.29818195,2.359485077,0.92,14,0.37249999999999994,0.7590293987856512
76,67.73,9686,10,191,0.612862377,1.362424633,92.85447883,1.769135551,14,0.661261515,1.616775033,0.91,14,0.3725,0.76387592494011
77,65.70555556,9576,10,164,0.623460464,1.343172369,91.54236297,1.704815435,15,-0.500096145,2.490116568,0.96,14,0.3875,0.7651388499216014
78,67.18333333,9693,11,296,0.613564393,1.354363606,92.30508886,1.722349247,16,-0.081885884,2.758644358,0.92,14,0.36500000000000005,0.7640273910586625
92,65.56888889,9566,8,176,0.619646618,1.346300423,91.75555193,1.844993311,14,0.327133779,1.712495921,0.91,14,0.35500000000000004,0.7596787215697605
94,69.88111111,9784,5,3056,0.610511305,1.368468905,93.2664192,1.849661207,11,-1.137953524,2.42329225,0.95,14,0.42250000000000004,0.7610162214102097
95,65.71666667,9467,5,174,0.612367175,1.362736663,92.87574487,1.80692854,13,0.631158186,2.214376064,0.94,14,0.4475,0.7650619586620069
99,66.16222222,9505,12,423,0.620936288,1.353826034,92.26845127,2.040727597,11,0.112489015,2.025904911,0.9,14,0.34500000000000003,0.7582361150203316
100,65.71777778,9578,11,190,0.623529156,1.368565911,93.27303054,1.887720761,12,0.43857529,1.966151586,0.91,14,0.375,0.7590293987856512
104,66.14777778,9402,11,333,0.617332145,1.353837885,92.26925891,1.840432263,13,0.128920513,1.821504848,0.94,14,0.35000000000000003,0.7630826411747904
106,67.51666667,9775,10,156,0.613770153,1.372791011,93.5609874,1.894550853,13,-0.251435888,2.926654925,0.92,14,0.3125,0.7602923237671426
109,67.15222222,9685,9,175,0.610149602,1.375086319,93.71742141,1.771518602,14,0.821846869,2.290573517,0.94,14,0.3325,0.76387592494011
111,65.96888889,9572,11,532,0.611044905,1.368138161,93.24387772,1.674724402,16,0.895664664,2.428386424,0.94,14,0.36750000000000005,0.7630826411747904
113,67.66555556,9715,12,176,0.619893199,1.351576824,92.11515896,1.899035681,15,-0.117810736,2.742030863,0.93,14,0.3775,0.7602923237671426
114,67.85,9694,11,156,0.611014,1.364271413,92.98034397,1.720114773,15,-0.327093281,2.109723695,0.95,14,0.3775,0.7651388499216014
119,66.26666667,9671,13,282,0.616983511,1.353854221,92.27037231,1.843876345,15,1.250661739,4.348072501,0.91,14,0.3975,0.7627644660771711
123,66.45666667,9730,13,219,0.611671697,1.372354307,93.53122429,1.768961352,13,0.428032548,2.707858188,0.94,14,0.3825,0.76387592494011
135,66.20888889,9647,12,249,0.617957925,1.362821797,92.88154709,1.752095424,17,0.141618185,2.39120522,0.92,14,0.36250000000000004,0.76387592494011
137,67.6,9768,11,158,0.620146549,1.340093116,91.33250009,1.8640165,11,-0.409768774,3.561022499,0.93,14,0.4125,0.7609416465512518
140,66.56,9653,7,146,0.608187203,1.357811421,92.54007069,1.904006029,12,0.307459347,2.567440683,0.92,14,0.38,0.7590293987856512
142,66.26888889,9507,12,430,0.628377284,1.324505046,90.27011314,2.012078711,11,0.595749305,2.091920294,0.89,14,0.3975,0.7582361150203316
143,65.58777778,9369,5,159,0.611532736,1.363522753,92.92931997,1.817576503,12,-0.084575112,2.779455419,0.93,14,0.36750000000000005,0.7663248836434983
156,64.6,9558,11,169,0.608828022,1.383612239,94.29849564,1.993084793,12,0.895516154,2.07953583,0.98,14,0.36750000000000005,0.7590293987856512
158,67.86222222,9740,12,141,0.619734491,1.339311709,91.27924417,2.020237154,10,-0.569485921,2.21091038,0.93,14,0.315,0.7602923237671426
