,Average number of tokens,Number of unique tokens,Minimum number of tokens,Maximum number of tokens,Mean distance,Fisher ratio,CalHara Index,DaBou Index,Number of cluster,Pearson Med,Kurtosis,Misclassification rate,Number of classes,Groundtruth_ASR,Predicted_ASR
4,55.01333333,6036,4,396,0.337635376,2.566583822,253.8066224,2.625537349,2,-0.169192063,2.240254064,0.9,10,0.8200000000000001,0.557555204212208
27,55.77555556,6044,3,510,0.331261308,2.560808224,253.23548,2.418849961,5,-0.326292625,2.496740937,0.87,10,0.7675,0.557555204212208
48,57.49888889,6169,3,606,0.333096473,2.572694654,254.4109158,2.284127346,6,0.628280862,2.496970222,0.91,10,0.7549999999999999,0.49138374936621215
80,57.00555556,6085,3,934,0.329131301,2.585898502,255.7166296,2.60524151,4,-0.097849211,2.182790403,0.85,10,0.7725,0.49253959286460824
86,61.77111111,6376,3,1002,0.339579806,2.507648852,247.9786087,2.21984991,6,-0.354649683,2.421349485,0.93,10,0.77,0.49138374936621215
154,62.87,6239,3,1564,0.339592742,2.478217909,245.0682154,2.118117754,5,0.740295812,1.722264846,0.91,10,0.8025,0.4810680956923949
162,60.06111111,6187,3,516,0.332251373,2.512302839,248.4388363,2.753166727,3,0.150300903,1.713722359,0.91,10,0.7975,0.49138374936621215
200,55.76111111,6000,3,362,0.332357951,2.502571488,247.4765138,2.258317154,6,0.117996895,1.582274409,0.91,10,0.79,0.556399360713812
201,57.35777778,6208,3,422,0.336127327,2.537875041,250.967643,2.673656645,3,0.258390361,3.92618144,1.0,10,0.8,0.49218778681714376
216,59.85333333,6328,3,1344,0.326736267,2.600624141,257.1728318,2.059780374,2,-0.218449176,2.018113037,0.96,10,0.7875,0.47909624143132934
