,Average number of tokens,Number of unique tokens,Minimum number of tokens,Maximum number of tokens,Mean distance,Fisher ratio,CalHara Index,DaBou Index,Number of cluster,Pearson Med,Kurtosis,Misclassification rate,Number of classes,Groundtruth_ASR,Predicted_ASR
2,192.5877778,9222,5,1372,0.455491843,1.472803127,1322.577208,1.837930983,2,0.0,1.0,0.83,2,0.6525000000000001,0.5083125342489204
13,190.0655556,9159,7,1493,0.459151027,1.460770509,1311.771917,1.869168649,2,0.0,1.0,0.98,2,0.62,0.5072155344008923
18,185.1644444,9085,8,1406,0.45130227,1.497104543,1344.399879,1.777879718,2,0.0,1.0,0.78,2,0.63,0.5083125342489204
22,188.1811111,9326,5,1238,0.453325771,1.5044569,1351.002296,2.23374864,2,0.0,1.0,0.81,2,0.6799999999999999,0.4815989961640495
25,182.8122222,9264,6,1333,0.449586859,1.515988202,1361.357405,1.869833591,2,0.0,1.0,0.99,2,0.6049999999999999,0.5072155344008923
32,180.4233333,9041,5,1112,0.443605006,1.526333684,1370.647648,1.734360088,2,0.0,1.0,0.87,2,0.6675,0.5083125342489204
33,187.2144444,9123,5,1257,0.457904483,1.461360103,1312.301373,1.773986508,3,0.0,1.0,0.7,2,0.6599999999999999,0.5104125036189913
34,181.74,8980,4,1543,0.448189235,1.505009604,1351.498625,2.019699677,3,0.0,1.0,0.88,2,0.6349999999999999,0.5087920040775532
35,188.1866667,9156,7,1255,0.44848374,1.505111041,1351.589714,1.873410052,2,0.0,1.0,0.88,2,0.495,0.5074524020911957
36,193.1833333,9393,8,1652,0.454655712,1.487282783,1335.579939,1.779515526,2,0.0,1.0,0.64,2,0.7274999999999999,0.4782061448140007
38,193.25,9359,7,1131,0.447717963,1.497324589,1344.597481,1.732558428,2,0.0,1.0,0.83,2,0.69,0.4782061448140007
47,184.4766667,9126,7,1212,0.447351205,1.498766062,1345.891923,1.786670222,2,0.0,1.0,0.95,2,0.5299999999999999,0.508075666558617
49,196.7155556,9194,8,1372,0.448845258,1.483094601,1331.818952,1.681760102,2,0.0,1.0,0.99,2,0.585,0.508075666558617
52,188.3911111,9313,6,1153,0.44911521,1.510715255,1356.622299,1.972900782,3,0.0,1.0,0.77,2,0.5775,0.5095523714612665
61,177.1922222,9011,5,1445,0.450544988,1.517915679,1363.08828,2.010040521,2,0.0,1.0,0.56,2,0.6475,0.5074524020911957
65,181.9888889,8882,6,1240,0.449372448,1.509260563,1355.315986,1.70381567,2,0.0,1.0,0.96,2,0.67,0.508075666558617
70,178.0322222,8866,4,1281,0.445467155,1.511027663,1356.902841,0.0,0,0.0,1.0,0.9,2,0.6900000000000001,0.5083125342489204
72,182.54,9248,5,1138,0.448055502,1.51111359,1356.980004,2.153871323,2,0.0,1.0,0.86,2,0.7074999999999999,0.512321826754704
73,191.6511111,9276,5,1194,0.448377429,1.489725957,1337.77391,1.932714785,3,0.0,0.0,0.79,2,0.54,0.5095523714612665
74,185.0444444,9133,4,1348,0.452950981,1.487939359,1336.169544,2.16876591,2,0.0,1.0,0.85,2,0.6575,0.512321826754704
79,186.1722222,9091,3,1278,0.458429514,1.476097797,1325.535822,1.765240724,2,0.0,1.0,0.51,2,0.6125,0.5083125342489204
82,180.7988889,9023,4,1322,0.453939432,1.503350836,1350.00905,1.921081804,3,0.0,1.0,0.77,2,0.6275000000000001,0.5087920040775532
89,177.9888889,8995,5,1211,0.445715435,1.533628971,1377.198816,1.859924963,4,0.0,1.0,0.97,2,0.565,0.5085551363872498
90,178.7422222,9027,8,1541,0.446372016,1.520490749,1365.400693,1.84504007,2,0.0,1.0,0.55,2,0.72,0.5083125342489204
96,185.0688889,9217,6,1061,0.44852437,1.513608679,1359.220594,1.989660939,2,0.0,1.0,0.87,2,0.6400000000000001,0.5074524020911957
107,183.7011111,9054,4,1328,0.454988838,1.484661797,1333.226294,2.123088598,2,0.0,1.0,0.87,2,0.7274999999999999,0.5167341388419665
108,178.8955556,9093,4,1402,0.452721036,1.499406777,1346.467286,1.888100792,2,0.0,1.0,0.88,2,0.6225,0.5074524020911957
110,187.8088889,9157,5,1301,0.449480171,1.49632838,1343.702885,1.764306182,3,0.0,1.0,0.51,2,0.6699999999999999,0.5104125036189913
112,186.6588889,9225,7,1450,0.45303298,1.484111738,1332.732341,1.941868004,2,0.0,1.0,0.51,2,0.665,0.5074524020911957
118,187.0044444,9260,5,1259,0.453588699,1.494498289,1342.059463,1.837903841,2,0.0,1.0,0.95,2,0.6950000000000001,0.508075666558617
120,193.5766667,9265,7,1297,0.447111545,1.51420057,1359.752112,1.743822167,2,0.0,1.0,0.99,2,0.68,0.508075666558617
122,190.3688889,9232,6,1550,0.455251345,1.48414029,1332.75798,2.004051595,2,0.0,1.0,0.71,2,0.5499999999999999,0.5074524020911957
129,190.1277778,9144,7,1183,0.452719862,1.483535165,1332.214578,1.614864034,2,0.0,1.0,0.85,2,0.7225,0.5083125342489204
133,201.6077778,9536,6,1248,0.45274579,1.476533207,1325.92682,1.844409838,4,0.0,1.0,0.83,2,0.65,0.47655455643659045
136,184.8211111,8944,3,1384,0.446551496,1.503615791,1350.24698,1.668529587,2,0.0,1.0,0.87,2,0.6675,0.5083125342489204
139,177.0755556,8990,6,1240,0.448632328,1.509029049,1355.108086,1.938481925,3,0.0,1.0,0.9,2,0.6725,0.5087920040775532
141,195.7211111,9422,9,1711,0.463053907,1.443171416,1295.967931,1.803306594,2,0.0,1.0,0.98,2,0.6725,0.4779692771236972
147,194.6733333,9384,4,1331,0.455226004,1.481781779,1330.640038,1.976881185,2,0.0,1.0,0.63,2,0.645,0.4773460126562761
150,190.4911111,9348,8,1391,0.451092382,1.502852935,1349.561935,1.72704086,2,0.0,1.0,0.96,2,0.47250000000000003,0.4779692771236972
151,188.05,9144,4,1234,0.447018166,1.490127488,1338.134484,2.008463347,2,0.0,1.0,0.91,2,0.6150000000000001,0.5067740739413806
152,188.7766667,9366,5,1213,0.4551059,1.502176174,1348.954204,1.864336923,2,0.0,1.0,0.95,2,0.62,0.47710914496597256
153,189.6677778,9162,6,1485,0.457494968,1.489847618,1337.883161,1.793798159,2,0.0,1.0,1.0,2,0.5775,0.508075666558617
161,187.0822222,9171,4,1584,0.456460404,1.4773201,1326.63345,0.0,0,0.0,1.0,0.95,2,0.65,0.508075666558617
163,191.9655556,9228,5,1135,0.450342161,1.49427192,1341.856184,1.880154907,2,0.0,1.0,0.6,2,0.6875,0.5074524020911957
164,180.1133333,9050,5,1258,0.447487256,1.517703922,1362.898122,1.751008877,2,0.0,1.0,0.54,2,0.6525,0.5083125342489204
