,Average number of tokens,Number of unique tokens,Minimum number of tokens,Maximum number of tokens,Mean distance,Fisher ratio,CalHara Index,DaBou Index,Number of cluster,Pearson Med,Kurtosis,Misclassification rate,Number of classes,Groundtruth_ASR,Predicted_ASR
76,67.73,9686,10,191,0.612862377,1.362424633,92.85447883,1.769135551,14,0.661261515,1.616775033,0.91,14,0.3725,0.3834922586705431
192,64.35888889,9426,5,163,0.617307383,1.353979675,92.27892245,1.820441907,14,-1.025405437,1.782130267,0.96,14,0.39,0.397009466829756
142,66.26888889,9507,12,430,0.628377284,1.324505046,90.27011314,2.012078711,11,0.595749305,2.091920294,0.89,14,0.3975,0.3834922586705431
26,46.65888889,7410,13,203,0.419095884,2.014716241,601.728584,2.840106282,4,1.459538318,2.303180096,0.75,4,0.5825,0.5383054377088656
7,98.66444444,8930,19,268,0.356730288,2.061432754,1851.166614,2.384081833,4,0.0,1.0,0.55,2,0.6649999999999999,0.660974781282107
8,103.3511111,9061,15,284,0.260836737,2.038729201,456.1656587,2.230769706,2,0.29361011,2.351147223,0.86,5,0.865,0.8221933367010223
33,187.2144444,9123,5,1257,0.457904483,1.461360103,1312.301373,1.773986508,3,0.0,1.0,0.7,2,0.6599999999999999,0.6422906966905028
110,187.8088889,9157,5,1301,0.449480171,1.49632838,1343.702885,1.764306182,3,0.0,1.0,0.51,2,0.6699999999999999,0.6305147679408897
126,96.80666667,8840,17,523,0.350675471,2.101092496,1886.781062,2.410714273,4,0.0,1.0,0.83,2,0.625,0.6307602504665613
91,186.1366667,9047,3,1376,0.323601378,1.493842242,334.2472017,1.927890697,2,1.174170546,1.825529844,0.89,5,0.8200000000000001,0.8221933367010223
90,178.7422222,9027,8,1541,0.446372016,1.520490749,1365.400693,1.84504007,2,0.0,1.0,0.55,2,0.72,0.6369625415279618
191,196.5122222,9569,5,1508,0.457783591,1.503688912,1350.312643,2.538648255,2,0.0,1.0,0.95,2,0.5950000000000001,0.6176311388063976
60,100.3088889,9029,19,276,0.352226455,2.092922421,1879.444334,2.271858996,2,0.0,1.0,0.75,2,0.6425,0.6637778257665413
144,45.96333333,7368,16,209,0.425700821,2.015126955,601.8512507,3.257612233,2,0.334887343,1.969866364,0.87,4,0.5175,0.5181362901031304
212,98.89111111,9139,19,458,0.252949861,2.074915637,464.2623737,2.59228683,3,1.373893698,2.872449439,0.81,5,0.8674999999999999,0.816803134817487
125,97.86222222,8948,16,278,0.358914187,2.079261605,1867.176921,2.469049487,2,0.0,1.0,0.61,2,0.52,0.6184267864606519
51,65.45555556,9550,11,193,0.621989839,1.361776283,92.81029126,1.660786051,16,-0.312839637,1.889133672,0.96,14,0.34750000000000003,0.39190166166634455
