MSE,,,,
,ASR_TextFooler,ASR_PWWS,ASR_BERT,ASR_DeepWordBug
amazon_review_full,0.1611,0.2385,0.1657,0.3479
amazon_review_polarity,0.0973,0.0887,0.1231,0.0552
dbpedia,0.394,0.5451,0.2933,0.5003
yahoo_answers,0.3242,0.4425,0.1724,0.2021
ag_news,0.2078,0.2569,0.2581,0.3486
yelp_review_full,0.0338,0.0445,0.0554,0.0573
yelp_review_polarity,0.1005,0.1495,0.1094,0.0858
,,,,
,,,,
R2,,,,
,ASR_TextFooler,ASR_PWWS,ASR_BERT,ASR_DeepWordBug
amazon_review_full,-13.5292,-36.3522,-33.8308,-17.9312
amazon_review_polarity,-0.67,-0.1371,-1.622,-0.1749
dbpedia,-72.4814,-148.9134,-24.6865,-438.9835
yahoo_answers,-264.1,-313.3541,-22.4365,-19.3835
ag_news,-10.5464,-14.282,-21.0386,-76.1684
yelp_review_full,-0.2741,-1.2011,-29.706,-0.3166
yelp_review_polarity,-1.2811,-2.5411,-1.3225,-1.6054
